Utterances,Potential Intent
"""Can we pause for a brief moment?""",Wait/Hold on
"""Hold that thought, I'll be quick.""",Wait/Hold on
"""One sec, need to handle something.""",Wait/Hold on
"""Please wait, I’m looking for the information.""",Wait/Hold on
"""Hang tight, I need to consult someone.""",Wait/Hold on
"""Could you hold on while I find my details?""",Wait/Hold on
"""Give me a moment to think.""",Wait/Hold on
"""Just a bit, I'm a little busy.""",Wait/Hold on
"""Wait a bit, I have another call.""",Wait/Hold on
"""Can we stop for a second, I need to verify this.""",Wait/Hold on
"""Hold please, I need to sort something out.""",Wait/Hold on
"""Pause right there, I'll get right back to you.""",Wait/Hold on
"""Hang on, I need to double-check something.""",Wait/Hold on
"""Can you explain the charges on my new bill?""",What are the dates and cost for the charges
"""Why are there extra charges on my bill?""",What are the dates and cost for the charges
"""What are these charges on my last bill about?""",What are the dates and cost for the charges
"""Can you break down the charges in my bill?""",What are the dates and cost for the charges
"""Why do I have late charges on my bill?""",What are the dates and cost for the charges
"""What are these additional charges on my bill?""",What are the dates and cost for the charges
"""I need details on the charges on my current bill.""",What are the dates and cost for the charges
"""What are the current charges on my bill for?""",What are the dates and cost for the charges
"""Why are the charges on my bill so high this time?""",What are the dates and cost for the charges
"""What's this charge on my bill?""",What are the dates and cost for the charges
"""Has there been a change in charges on my bill?""",What are the dates and cost for the charges
"""Can you detail this charge on my bill summary?""",What are the dates and cost for the charges
"""Why are there new charges added to my bill?""",What are the dates and cost for the charges
"""Why are charges going up on my bills?""",What are the dates and cost for the charges
"""What's this unknown charge on my bill?""",What are the dates and cost for the charges
"""Can you explain the charges for my bill?""",What are the dates and cost for the charges
"""What's this new charge on my latest bill?""",What are the dates and cost for the charges
"""Why are there different charges on my bill this time?""",What are the dates and cost for the charges
"""I see excess charges on my bill, why is that?""",What are the dates and cost for the charges
"""What's this $23.20 charge on my bill for?""",What are the dates and cost for the charges
"""Can you clarify what my bill is being charged for?""",What are the dates and cost for the charges
"""What's the late fee amount on my bill?""",What are the dates and cost for the charges
"""Can you provide details on these bill charges?""",What are the dates and cost for the charges
"""Why was my card charged $119 for my bill?""",What are the dates and cost for the charges
"""What's this bill charge of $27.19 for?""",What are the dates and cost for the charges
|Charges on my new bill                                                                                                                                                                                                                |,What are the dates and cost of charges
|Extra charges to my bill                                                                                                                                                                                                                                                                                    |,What are the dates and cost of charges
|Charges on my last bill                                                                                                                                                                                                                                                                                     |,What are the dates and cost of charges
|Charges in my bill                                                                                                                                                                                                                                                                                          |,What are the dates and cost of charges
|Late charges on my bill                                                                                                                                                                                                                                                                                     |,What are the dates and cost of charges
|Charges put on my bill                                                                                                                                                                                                                                                                                      |,What are the dates and cost of charges
|Charges on my current bill                                                                                                                                                                                                                                                                                  |,What are the dates and cost of charges
|Current charges on my bill                                                                                                                                                                                                                                                                                  |,What are the dates and cost of charges
|Charges on my bill too high                                                                                                                                                                                                                                                                                 |,What are the dates and cost of charges
|Charges charges on my bill                                                                                                                                                                                                                                                                                  |,What are the dates and cost of charges
|Change in charges on my bill                                                                                                                                                                                                                                                                                |,What are the dates and cost of charges
|A charge on my summary bill                                                                                                                                                                                                                                                                                 |,What are the dates and cost of charges
|Charges on my my bill                                                                                                                                                                                                                                                                                       |,What are the dates and cost of charges
|Charges added to my bill                                                                                                                                                                                                                                                                                    |,What are the dates and cost of charges
|Charges going up on my bills                                                                                                                                                                                                                                                                                |,What are the dates and cost of charges
|New charges on my bill                                                                                                                                                                                                                                                                                      |,What are the dates and cost of charges
|Charges unknown on my bill                                                                                                                                                                                                                                                                                  |,What are the dates and cost of charges
|Charges for my bill                                                                                                                                                                                                                                                                                         |,What are the dates and cost of charges
|Charges on my bill for                                                                                                                                                                                                                                                                                      |,What are the dates and cost of charges
|New charges to my bill                                                                                                                                                                                                                                                                                      |,What are the dates and cost of charges
|Charges on my latest bill                                                                                                                                                                                                                                                                                   |,What are the dates and cost of charges
|Different charges on my bill                                                                                                                                                                                                                                                                                |,What are the dates and cost of charges
|Charges on my on my bill                                                                                                                                                                                                                                                                                    |,What are the dates and cost of charges
|Charges made on my on my bill                                                                                                                                                                                                                                                                               |,What are the dates and cost of charges
|Charges on my bill transfer call                                                                                                                                                                                                                                                                            |,What are the dates and cost of charges
|Excess charges on my bill                                                                                                                                                                                                                                                                                   |,What are the dates and cost of charges
|Charges on my bill charges on my bill                                                                                                                                                                                                 |,What are the dates and cost of charges
|On my bill's charges on my bill                                                                                                                                                                                                                                                                             |,What are the dates and cost of charges
|What are my bills being billed for                                                                                                                                                                                                   |,What are the dates and cost of charges
|How much is the late on my bill                                                                                                                                                                                                                                                                             |,What are the dates and cost of charges
|I wanted to know charges on my bill                                                                                                                                                                                                                                                                         |,What are the dates and cost of my charges
|I wanted to know the cost of my bill                                                                                                                                                                                                                                                                        |,What are the dates and cost of my charges
|A charge on my bill for twenty three dollars and twenty cents I don't understand it                                                                                                                                                   |,What are the dates and cost of the charges
|How about charges on my bill                                                                                                                                                                                                                                                                                |,What are the dates and cost of the charges
|Why was my discover card billed hundred nineteen dollars                                                                                                                                                                                                                                                    |,What are the dates and cost of the charges
|I called because I got a bill charging me twenty seven nineteen for what                                                                                                                                                                                                                                    |,What are the dates and cost of the charges
|Someone called me and said I owed a bill for ninety seven dollars                                                                                                                                                                                                                                           |,What are the dates and cost of the charges
|Y'all called me saying my bill was eighty four dollars and something                                                                                                                                                                                                                                        |,What are the dates and cost of the charges
|What is this for bill                                                                                                                                                                                                                                                                                       |,What are the dates and cost of the charges
|What is this bill for                                                                                                                                                                                                                                                                                       |,What are the dates and cost of the charges
|What is the bill for                                                                                                                                                                                                                                                                                        |,What are the dates and cost of the charges
|When my bill comes out                                                                                                                                                                                                                                                                                      |,What is my
|When is my first bill                                                                                                                                                                                                                                                                                       |,What is my bill cycle
"""Can you tell me about my billing cycle dates?""",What is my billing cycle
"""What are the start and end dates of my billing cycle?""",What is my billing cycle
"""I need to know the duration of my billing cycle.""",What is my billing cycle
"""When does my billing cycle begin and end?""",What is my billing cycle
"""Could you inform me about my bill cycle period?""",What is my billing cycle
"""What's the timeframe of my current billing cycle?""",What is my billing cycle
"""Can you clarify my billing cycle timeline?""",What is my billing cycle
"""I'm unsure about my billing cycle, can you help?""",What is my billing cycle
"""What dates does my billing cycle cover?""",What is my billing cycle
"""How long is my billing cycle?""",What is my billing cycle
"""Could you specify the dates of my billing cycle?""",What is my billing cycle
"""I want to understand my billing period.""",What is my billing cycle
"""When does my bill cycle usually start?""",What is my billing cycle
"""Can you detail my monthly billing cycle?""",What is my billing cycle
"""What's the regular cycle for my billing?""",What is my billing cycle
"""How often is my billing cycle?""",What is my billing cycle
"""What is the length of each billing period for my account?""",What is my billing cycle
"""I'm confirming the dates of my billing cycle.""",What is my billing cycle
"""Can you explain my bill cycle structure?""",What is my billing cycle
"""What are the key dates of my billing cycle?""",What is my billing cycle
"""I'd like to know the frequency of my billing period.""",What is my billing cycle
"""Can you provide the schedule of my billing cycle?""",What is my billing cycle
"""When is my bill cycle reset each month?""",What is my billing cycle
"""I need information on my regular billing cycle.""",What is my billing cycle
"""What are the usual dates for my billing cycle?""",What is my billing cycle
When does my bill start,What is my billing cycle
"""What's the interval between my billings?""",What is my billing cycle
"""Can you tell me when my billing period starts and finishes?""",What is my billing cycle
"""How often am I billed for services?""",What is my billing cycle
"""What are the dates for my regular billings?""",What is my billing cycle
"""I need to understand the timing of my bill.""",What is my billing cycle
"""When does my billing period typically begin each month?""",What is my billing cycle
"""Could you inform me about the regularity of my bill generation?""",What is my billing cycle
"""I'm looking for the frequency of my bill issuance.""",What is my billing cycle
"""What is the schedule for my account's billings?""",What is my billing cycle
"""How frequently do my bill charges occur?""",What is my billing cycle
|When I pay my bill                                                                                                                                                                                                                                                                                          |,What is my due date
|If my bill is due                                                                                                                                                                                                                                                                                           |,What is my due date
|I wanna know when my bill due how much is it                                                                                                                                                                                                                                                                |,What is my due date
|I wanna know what due date is my bill due on                                                                                                                                                                                                                                                                |,What is my due date
|I wanna know my due date for my bill                                                                                                                                                                                                                                                                        |,What is my due date
|When is my due date to pay my bill                                                                                                                                                                                                                                                                          |,What is my due date
|When is my due date for my bill                                                                                                                                                                                                                                                                             |,What is my due date
|When is my next bill due autopay                                                                                                                                                                                                                                                                            |,What is my due date
|When is my due date to pay the bill                                                                                                                                                                                                                                                                         |,What is my due date
|When is my due date to pay my bill every month                                                                                                                                                                                                                                                              |,What is my due date
|When is my cut off notice for my bill                                                                                                                                                                                                                                                                       |,What is my due date
|When is my bill due for my accounts                                                                                                                                                                                                                                                                         |,What is my due date
|When is the due date on my bill                                                                                                                                                                                                                                                                             |,What is my due date
|When is my next due for my next bill due                                                                                                                                                                                                                                                                    |,What is my due date
|When is the next time my bill is due                                                                                                                                                                                                                                                                        |,What is my due date
|When is the cutoff date on my bill                                                                                                                                                                                                                                                                          |,What is my due date
|My billing when is my next bill due                                                                                                                                                                                                                                                                         |,What is my due date
|Bill when I have to pay my bill                                                                                                                                                                                                      |,What is my due date
|When I has to pay my cable bill                                                                                                                                                                                                       |,What is my due date
|When I need to pay my next bill                                                                                                                                                                                                       |,What is my due date
|When I have to pay my bill                                                                                                                                                                                                                                                                                  |,What is my due date
|If I need to pay the bill now                                                                                                                                                                                                                                                                               |,What is my due date
|When I have to pay bill                                                                                                                                                                                                                                                                                     |,What is my due date
|If I need to pay my bill                                                                                                                                                                                                                                                                                    |,What is my due date
|Say if I have to pay my bill                                                                                                                                                                                                                                                                                |,What is my due date
|If I can pay my bill over the phone                                                                                                                                                                                                                                                                         |,What is my due date
|If I can pay my bill on the twentieth                                                                                                                                                                                                                                                                       |,What is my due date
|When I need to pay the bill amount                                                                                                                                                                                                                                                                          |,What is my due date
|When I need to pay my bill                                                                                                                                                                                                                                                                                  |,What is my due date
|When does my bill come due                                                                                                                                                                                                            |,What is my due date
|When is my bill normally due                                                                                                                                                                                                          |,What is my due date
|When is my my bill due                                                                                                                                                                                                                |,What is my due date
|When do my bill due                                                                                                                                                                                                                                                                                         |,What is my due date
|When when is my bill due                                                                                                                                                                                                                                                                                    |,What is my due date
|When is is my bill due                                                                                                                                                                                                                                                                                      |,What is my due date
|When will my bill is due                                                                                                                                                                                                                                                                                    |,What is my due date
|When is my bill is due                                                                                                                                                                                                                                                                                      |,What is my due date
|When's my bill due                                                                                                                                                                 |,What is my due date
|When is my phone bill due                                                                                                                                                  |,What is my due date
|When is my next Internet bill due                                                                                                                                                        |,What is my due date
|When is my bill due date                                                                                                                                                                                          |,What is my due date
|What when is my phone bill due                                                                                                                                                                                                       |,What is my due date
|When is my current bill due                                                                                                                                                                                                          |,What is my due date
|When is my cable bil due                                                                                                                                                                                                |,What is my due date
|When is my mobile bill due                                                                                                                                                                                                            |,What is my due date
|When is my monthly bill due                                                                                                                                                                                                           |,What is my due date
|When is my next due bill                                                                                                                                                                                                              |,What is my due date
|When is my regular bill due                                                                                                                                                                                                                                                                                 |,What is my due date
|When is my next phone bill due                                                                                                                                                                                                                                                                              |,What is my due date
|When when is my phone bill due                                                                                                                                                                                                                                                                              |,What is my due date
|When is my phone bill due                                                                                                                                                                                                                                                                                   |,What is my due date
|When is my cable bill due                                                                                                                                                                                                                                                                                   |,What is my due date
|When is my spectrum TV bill due                                                                                                                                                                                                                                                                             |,What is my due date
|When's the next bill due                                                                                                                                                                                                                                                                                    |,What is my due date
|When's my phone bill due                                                                                                                                                                                                                                                                                    |,What is my due date
|When is my past bill due                                                                                                                                                                                                                                                                                    |,What is my due date
|When is my next next bill due                                                                                                                                                                                                                                                                               |,What is my due date
|When's my next bill due                                                                                                                                                                                                                                                                                     |,What is my due date
|When is my first bill due                                                                                                                                                                                                                                                                                   |,What is my due date
|When is my Internet bill due                                                                                                                                                                                                                                                                                |,What is my due date
|When will my next phone bill be due                                                                                                                                                                                                                                                                         |,What is my due date
|When's my Internet bill due                                                                                                                                                                                                                                                                                 |,What is my due date
|When is my bill payment due                                                                                                                                                                                                                                                                                 |,What is my due date
|When is my next mobile bill due                                                                                                                                                                                                                                                                             |,What is my due date
|When is my spectrum bill due                                                                                                                                                                                                                                                                                |,What is my due date
|When is my next cable bill due                                                                                                                                                                                                                                                                              |,What is my due date
|When is my cell phone bill due                                                                                                                                                                                                                                                                              |,What is my due date
|When is my bill actually due                                                                                                                                                                                                                                                                                |,What is my due date
|When's my mobile bill due                                                                                                                                                                                                                                                                                   |,What is my due date
|When's my cable bill due                                                                                                                                                                                                                                                                                    |,What is my due date
|When is my next bill due date                                                                                                                                                                                                                                                                               |,What is my due date
|I wanna know how much when is my bill due                                                                                                                                                                                                                                                                   |,What is my due date
|Do I owe a bill do I have a bill I wanna pay it                                                                                                                                                                                                                                                             |,What is my pending amount
|I wanna pay the bill how much do I owe                                                                                                                                                                                                                                                                      |,What is my pending amount
|What do I owe I wanna pay my bill                                                                                                                                                                                                                                                                           |,What is my pending amount
|I wanna pay my bill what do I owe                                                                                                                                                                                                                                                                           |,What is my pending amount
|How much do I owe if the bill please the check the balance pending please                                                                                                                                                                                                                                   |,What is my pending amount
|Wi-Fi pay past due amount bill                                                                                                                                                                                                                                                                              |,What is my pending amount
|Wi-Fi bill late                                                                                                                                                                                                                                                                                             |,What is my pending amount
|If I owe my bill                                                                                                                                                                                                                                                                                            |,What is my pending amount
